SECTOR,SHELF,REEF_NAME,REEF_ID,SITE_NO,LATITUDE,LONGITUDE,SAMPLE_DATE
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,1993-06-12
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,1993-06-12
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,1993-06-12
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,1995-04-15
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,1995-04-16
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,1995-04-16
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,1996-01-07
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,1996-01-07
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,1996-01-07
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,1997-01-29
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,1997-01-29
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,1997-01-29
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,1998-02-01
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,1998-02-01
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,1998-02-01
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,1999-01-25
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,1999-01-25
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,1999-01-25
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2000-01-28
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2000-01-28
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,2000-01-28
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2001-02-06
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2001-02-06
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,2001-02-06
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2001-09-20
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2001-09-20
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,2001-09-20
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2002-11-06
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2002-11-07
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,2002-11-07
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2004-01-13
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2004-01-13
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,2004-01-13
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2005-01-19
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2005-01-19
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,2005-01-19
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2007-01-13
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2007-01-13
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,2007-01-13
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2009-02-11
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2009-02-11
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,2009-02-11
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2011-01-22
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2011-01-22
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2013-01-03
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2013-01-03
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,2013-01-04
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2015-03-02
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2015-03-02
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,2015-03-02
CA,I,LOW ISLANDS REEF,16028S,1,-16.383517,145.57095,2016-09-05
CA,I,LOW ISLANDS REEF,16028S,2,-16.386483,145.5726,2016-09-06
CA,I,LOW ISLANDS REEF,16028S,3,-16.390217,145.57345,2016-09-06
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,1993-06-17
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,1993-06-17
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,1993-06-17
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,1994-02-07
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,1994-02-07
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,1994-02-07
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,1995-04-17
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,1995-04-18
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,1995-04-17
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,1996-01-24
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,1996-01-24
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,1996-01-24
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,1997-01-18
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,1997-01-18
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,1997-01-18
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,1998-02-03
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,1998-02-03
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,1998-02-03
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,1999-02-04
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,1999-02-04
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,1999-02-04
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2000-02-03
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2000-02-02
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2000-02-02
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2001-02-10
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2001-02-10
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2001-02-10
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2001-09-24
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2001-09-24
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2001-09-24
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2002-10-24
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2002-10-24
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2002-10-24
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2004-01-14
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2004-01-14
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2004-01-15
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2005-02-01
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2005-02-01
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2005-02-01
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2007-01-04
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2007-01-04
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2007-01-04
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2009-01-08
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2009-01-08
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2009-01-08
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2011-02-07
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2011-02-07
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2011-02-07
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2013-01-15
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2013-01-15
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2013-01-15
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2015-03-08
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2015-03-08
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2015-03-08
CA,I,GREEN ISLAND REEF,16049S,1,-16.775317,145.98045,2016-12-03
CA,I,GREEN ISLAND REEF,16049S,2,-16.772867,145.976683,2016-12-03
CA,I,GREEN ISLAND REEF,16049S,3,-16.76995,145.973567,2016-12-03
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,1994-02-09
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,1994-02-11
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,1994-02-11
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,1995-05-28
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,1995-05-28
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,1995-05-28
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,1996-01-25
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,1996-01-25
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,1996-01-25
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,1997-01-19
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,1997-01-19
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,1997-01-19
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,1998-02-05
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,1998-02-05
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,1998-02-05
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,1999-02-08
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,1999-02-08
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,1999-02-08
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2000-02-02
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2000-02-02
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2000-02-02
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2001-02-07
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2001-02-07
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2001-02-07
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2001-09-22
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2001-09-22
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2001-09-22
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2002-11-08
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2002-11-08
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2002-11-08
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2004-01-15
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2004-01-18
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2004-01-18
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2005-02-03
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2005-02-03
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2005-02-03
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2007-01-19
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2007-01-19
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2007-01-19
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2009-01-03
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2009-01-03
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2009-01-04
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2011-02-08
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2011-02-08
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2011-02-08
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2013-01-17
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2013-01-17
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2013-01-17
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2015-03-10
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2015-03-10
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2015-03-10
CA,I,FITZROY ISLAND REEF,16054S,1,-16.92315,145.993133,2016-12-19
CA,I,FITZROY ISLAND REEF,16054S,2,-16.923067,145.996083,2016-12-19
CA,I,FITZROY ISLAND REEF,16054S,3,-16.92195,145.999317,2016-12-19
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,1993-06-14
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,1993-06-14
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,1993-06-14
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,1995-04-14
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,1995-04-14
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,1995-04-14
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,1996-01-08
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,1996-01-08
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,1996-01-08
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,1998-01-25
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,1998-01-25
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,1998-01-29
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,1999-01-26
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,1999-01-26
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,1999-01-26
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2000-01-26
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2000-01-26
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2000-01-27
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2001-02-04
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2001-02-04
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2001-02-04
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2001-09-18
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2001-09-18
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2001-09-19
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2002-10-25
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2002-10-25
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2002-10-25
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2004-01-08
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2004-01-09
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2004-01-09
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2005-01-30
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2005-01-30
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2005-01-30
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2007-01-11
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2007-01-11
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2007-01-11
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2009-02-09
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2009-02-09
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2009-02-09
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2011-01-29
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2011-01-29
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2011-01-29
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2013-01-07
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2013-01-07
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2013-01-07
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2015-03-03
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2015-03-03
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2015-03-03
CA,M,MACKAY REEF,16015S,1,-16.042633,145.65455,2016-12-04
CA,M,MACKAY REEF,16015S,2,-16.04495,145.65245,2016-12-04
CA,M,MACKAY REEF,16015S,3,-16.0474,145.649967,2016-12-04
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,1993-06-22
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,1993-06-22
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,1993-06-23
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,1994-02-05
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,1994-02-05
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,1994-02-05
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,1995-04-06
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,1995-04-06
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,1995-04-06
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,1996-01-21
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,1996-01-21
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,1996-01-21
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,1997-01-24
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,1997-01-24
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,1997-01-24
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,1998-01-23
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,1998-01-23
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,1998-01-24
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,1999-02-04
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,1999-02-04
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,1999-02-05
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,2000-01-21
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,2000-01-21
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,2000-01-21
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,2001-02-12
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,2001-02-12
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,2001-02-13
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,2001-09-27
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,2001-09-27
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,2001-09-27
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,2002-11-03
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,2002-11-03
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,2002-11-03
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,2004-01-12
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,2004-01-12
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,2004-01-12
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,2005-01-24
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,2005-01-24
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,2005-01-24
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,2005-10-20
CA,M,HASTINGS REEF,16057S,2,-16.503033,146.026567,2005-10-20
CA,M,HASTINGS REEF,16057S,3,-16.506817,146.02995,2005-10-20
CA,M,HASTINGS REEF,16057S,1,-16.49935,146.022667,2007-01-16
