REEF_ID,SITE_NO,Algae,Hard Coral
16028S,1,30.64,24.77
16028S,2,35.83,29.91
16028S,3,37.57,35.81
16028S,1,32.36,25.85
16028S,2,31.35,34.14
16028S,3,32.27,44.04
16028S,1,33.1,35
16028S,2,34.93,39.38
16028S,3,38.23,43.37
16028S,1,42.1,23.3
16028S,2,37.05,34.69
16028S,3,34.2,48.3
16028S,1,36.4,30
16028S,2,46.87,23.54
16028S,3,45.9,37.5
16028S,1,42.7,20.03
16028S,2,49.24,19.83
16028S,3,55.9,24.16
16028S,1,73.66,9.77
16028S,2,71.7,9.2
16028S,3,85.41,7.65
16028S,1,65.04,9.92
16028S,2,66.56,9.85
16028S,3,82.45,7.86
16028S,1,68.7,12.8
16028S,2,70.52,10.53
16028S,3,82.23,9.69
16028S,1,72.86,10.71
16028S,2,73.7,13
16028S,3,80.8,9.1
16028S,1,65.96,12.59
16028S,2,69.35,12.08
16028S,3,76.83,10.28
16028S,1,61.3,16
16028S,2,67,15.7
16028S,3,75.6,16.2
16028S,1,57.2,15.3
16028S,2,62.1,17.8
16028S,3,64.1,21.4
16028S,1,44.6,20.1
16028S,2,43.2,25.2
16028S,3,42.8,36.6
16028S,1,58.4,19.3
16028S,2,52.5,24.9
16028S,1,40.2,27
16028S,2,38.6,33.1
16028S,3,46.4,40.4
16028S,1,57.7,18.1
16028S,2,54.6,21.2
16028S,3,56.5,25.6
16028S,1,49.6,21.3
16028S,2,47.2,31.8
16028S,3,43,37.8
16049S,1,61.94,11
16049S,2,72.71,9.08
16049S,3,68.03,8.28
16049S,1,52.8,11.57
16049S,2,70.25,6.01
16049S,3,68.53,9.19
16049S,1,61.56,14.97
16049S,2,67.75,14.33
16049S,3,75.38,8.13
16049S,1,52.04,20.93
16049S,2,61.36,14.81
16049S,3,71.88,8.48
16049S,1,56.56,15.69
16049S,2,73.8,5.8
16049S,3,80.5,1.9
16049S,1,60.18,15.43
16049S,2,70.7,3.81
16049S,3,80.96,1.81
16049S,1,58.05,10.84
16049S,2,70.29,4.64
16049S,3,74.96,3.31
16049S,1,62.55,9.59
16049S,2,76.2,2.1
16049S,3,78.76,0.75
16049S,1,65.01,7.94
16049S,2,75.8,4.3
16049S,3,83.6,0.91
16049S,1,62.17,9.78
16049S,2,75.5,3.7
16049S,3,81.4,0.9
16049S,1,65.1,10.2
16049S,2,75.53,4.11
16049S,3,83.5,0.6
16049S,1,62.32,13.33
16049S,2,69.52,6.11
16049S,3,80.32,2.54
16049S,1,59.8,14.15
16049S,2,69.63,8.92
16049S,3,78.43,5.55
16049S,1,50.9,21
16049S,2,59.8,12.4
16049S,3,71.34,6.52
16049S,1,44.5,26.6
16049S,2,51.1,22.2
16049S,3,64.8,10.5
16049S,1,45.7,23.5
16049S,2,62.2,11.8
16049S,3,64.7,13.1
16049S,1,54.7,19.2
16049S,2,74.3,10
16049S,3,81.6,1.7
16049S,1,59.8,11.6
16049S,2,67.9,4.9
16049S,3,76.6,1.6
16049S,1,65.1,16.2
16049S,2,75.1,8.2
16049S,3,83.4,1.8
16054S,1,39.26,25.56
16054S,2,33.41,27.19
16054S,3,34.25,19.86
16054S,1,28.49,32.75
16054S,2,22.4,33.21
16054S,3,32.41,25.96
16054S,1,28.26,40.05
16054S,2,30.24,36.84
16054S,3,32.2,31.95
16054S,1,24.31,41.67
16054S,2,24.16,39.28
16054S,3,27.56,28.37
16054S,1,43.58,34.72
16054S,2,39.63,34.44
16054S,3,38.5,33
16054S,1,38.26,37.27
16054S,2,32,32.4
16054S,3,35.26,26.16
16054S,1,64.01,12.55
16054S,2,66.28,6.13
16054S,3,65.7,1.8
16054S,1,58.13,14.37
16054S,2,66.96,3
16054S,3,55.15,1.53
16054S,1,55.33,16.76
16054S,2,67.17,5.9
16054S,3,66.92,2.31
16054S,1,56.97,15.42
16054S,2,67.1,4.5
16054S,3,67,1.4
16054S,1,46.52,19.17
16054S,2,58.21,7.13
16054S,3,56.13,2.91
16054S,1,41.74,30.3
16054S,2,54.54,11.04
16054S,3,56.7,4.7
16054S,1,36.1,34.55
16054S,2,53.62,11.42
16054S,3,48.64,7.53
16054S,1,25,38
16054S,2,36.1,22.3
16054S,3,38.6,14.2
16054S,1,28.7,39.7
16054S,2,38.14,23.02
16054S,3,38.2,24.7
16054S,1,31.9,42.6
16054S,2,38.7,29.1
16054S,3,47.2,15.5
16054S,1,40.88,23.26
16054S,2,54.34,13.93
16054S,3,46.65,12.42
16054S,1,48.4,13
16054S,2,49.4,20.8
16054S,3,40,17.9
16015S,1,55.09,27.61
16015S,2,46.61,24.81
16015S,3,52.15,28.59
16015S,1,56.73,28.09
16015S,2,54.85,26.77
16015S,3,55.02,29.03
16015S,1,57.05,30.9
16015S,2,53.89,29.64
16015S,3,52.81,32.49
16015S,1,49.7,33.87
16015S,2,57.2,24.58
16015S,3,54.5,27.2
16015S,1,53.4,33.8
16015S,2,54.12,23.25
16015S,3,58.47,26.58
16015S,1,57.6,29.3
16015S,2,55.88,23.98
16015S,3,62.8,22.3
16015S,1,60.32,26.21
16015S,2,63.13,18.68
16015S,3,68.33,19.35
16015S,1,56.7,31.6
16015S,2,65.46,18.94
16015S,3,66.42,20.84
16015S,1,59.2,31.2
16015S,2,67.87,18.51
16015S,3,71.17,19.71
16015S,1,57.69,30.14
16015S,2,67.49,18.27
16015S,3,71.29,18.89
16015S,1,51.49,35.78
16015S,2,58.39,24.19
16015S,3,67.36,21.12
16015S,1,56.2,35
16015S,2,63.1,24.2
16015S,3,66.4,22.4
16015S,1,50.35,37.44
16015S,2,53.4,28.5
16015S,3,55.7,27.5
16015S,1,55.2,37.2
16015S,2,55.7,30.5
16015S,3,59.45,25.63
16015S,1,60.2,31.8
16015S,2,63.9,26.6
16015S,3,59.6,29.5
16015S,1,75.9,15.4
16015S,2,71.8,14
16015S,3,72.6,15.1
16015S,1,76,17.8
16015S,2,67.3,22
16015S,3,74.6,14.4
16057S,1,64.9,22.57
16057S,2,55.56,19.9
16057S,3,77.6,19.32
16057S,1,62.78,21.04
16057S,2,61.2,20.95
16057S,3,78.89,18.73
16057S,1,63.99,24.28
16057S,2,55.85,21.36
16057S,3,66.62,26.38
16057S,1,56.65,24.86
16057S,2,51.37,23.63
16057S,3,62.72,28.59
